epoch,total_volume
1710432184501,48764598279.44952
1710435777590,47985050030.07029
1710439369932,42600396554.437485
1710443258721,52610883698.12157
1710446534004,58518685985.76353
1710450172411,60567653391.33729
1710453659520,61264759785.91766
1710457639407,62909960531.9002
1710460964785,63139158648.67042
1710464565014,64302089170.87777
1710468214861,64505855229.101036
1710471735449,66252194661.74545
1710475598608,74035692373.97137
1710479059789,74528209132.40794
1710482704797,76485063823.29575
1710486269619,79771920143.26732
1710490073799,80340756035.33766
1710493329817,68381597856.48843
1710497220663,86866577879.50482
1710500561535,88709474653.64342
1710504147011,89563063501.69675
1710507882394,90509299126.86789
1710511516515,90435450596.38904
1710515327027,89331668757.17966
1710518736180,85739787533.8089
1710522571355,73045542286.99353
1710525629934,82916900745.36911
1710529679829,79713283771.85432
1710533099836,82172734873.63249
1710536639369,69056677524.64072
1710540411742,80626845779.35318
1710544106051,69237748839.77173
1710547343350,81981099093.012
1710551211698,82410909127.74226
1710554855140,78984957489.29362
1710558464163,77575537396.31093
1710562031215,71464409884.75821
1710565517154,68165456825.20082
1710568818851,54229733846.79607
1710572586011,58435219003.91907
1710576389259,63016828362.870316
1710579731905,60596534624.34808
1710583396171,55153671748.346275
1710586869493,54193438659.92306
1710590630735,52814205074.18633
1710594021449,52337962982.17488
1710597620290,51318178904.50852
1710601230751,50968523802.57097
1710605291564,49956834539.37243
1710608531320,49053497631.67428
1710612248968,48527173658.16445
1710615630768,49093197570.98969
1710619716796,41107197291.98376
1710623277969,45074189656.247185
1710626906256,46242974229.25069
1710630194011,47151341835.99687
1710634100519,50182339473.55901
1710637497598,43494811103.1307
1710640877778,52377437397.04946
1710644860428,52039403588.93895
1710648053619,52529845764.250755
1710651654399,43224080349.83311
1710655395039,52249432292.46122
1710659094636,52964863897.685616
1710662841321,46197276586.29177
1710666393727,57584663848.28244
1710669728325,56350794120.845314
1710673692887,57233602634.83125
1710677141556,58402646257.69565
1710680692249,58028359056.81235
1710684206773,58507563114.43791
1710687873513,57731513139.47471
1710691314240,57250739684.31486
1710694931988,58301304968.306244
1710698898230,58030556313.233475
1710702244239,55210561694.89392
1710705965621,54551709743.3276
1710709467423,52959839370.04323
1710713317124,50855184724.487785
1710716854367,49960748306.63242
1710720512832,46270697990.8004
1710724081020,43957815455.17555
1710727456641,45313625059.73447
1710731085341,45313279248.03969
1710734746687,45763986874.2484
1710738275243,46216164748.90479
1710741876853,46980082246.55144
1710745371976,46327073307.434296
1710748858454,43475068186.947624
1710752698985,43613628513.386154
1710756080444,43582425761.11587
1710759946403,43254655050.29463
1710763661615,43102579882.44536
1710767133437,26741443804.005665
1710770648098,42057090507.35947
1710774047501,46225083744.16271
1710777951877,47227062994.19598
1710781634488,39069299903.84623
1710785020118,41127285833.804825
1710788769252,50562427903.00273
1710792388682,51541935303.20987
1710795862873,52332393893.8939
1710799575321,43944659380.14729
1710803338607,52619648758.13984
1710806453816,51101822566.75771
1710810185863,51858619777.628174
1710813864851,53429906891.516365
1710817281313,54971279322.04604
1710821220724,57526839746.667534
1710824667960,58938196541.06695
1710828037379,60650538255.39538
1710831789698,61888576139.105446
1710835445115,63927367040.06107
1710839066951,51927213781.72355
1710842923767,68346786732.167015
1710846399557,67485373009.70078
1710850169801,72434332635.73912
1710853382812,60804223184.03072
1710857086252,73597865014.71817
1710860629603,73853988071.90633
1710864313717,61552194718.103874
1710867757628,74602559254.82042
1710871775708,76454843373.52383
1710875111072,78219313099.4117
1710878967927,77632131320.10707
1710882131915,78285268941.83325
1710885934809,61345320908.32979
1710889669998,78930637974.01894
1710892853350,80179417876.47993
1710896913740,82179398583.9403
1710900048968,79803349073.72409
1710903794774,79620856995.7488
1710907683399,77299732069.06277
1710910822788,78189241669.79335
1710914609395,78726984498.79616
1710918251858,78546638696.63387
1710922013364,64775136478.39872
1710925219271,75485802603.02612
1710929353269,72829416712.61555
1710932553319,70375702107.958
1710936319408,68965920470.81277
1710939991423,68219643911.597496
1710943442786,67247915966.572395
1710946857037,67080045641.75235
1710950849329,65537870432.2274
1710954496775,65131542372.7185
1710958154833,64791835687.64544
1710961701497,67589769154.1599
1710965064373,67872541626.08958
1710968657343,68823033303.74545
1710972254621,72634759520.28558
1710976216758,71006837958.32599
1710979755524,70709924156.71898
1710983102447,70511743595.62103
1710986817969,68898327385.01108
1710990136351,68449065517.456276
1710993882975,68072984682.48613
1710997285891,66188358138.122375
1711001273892,64971295898.52911
1711004767299,64510627678.48805
1711008341539,61328562671.65373
1711011999708,56055708814.20893
1711015320117,61922668024.77068
1711019541001,61345758730.45049
1711022703025,61185045930.20671
1711026299077,53296073318.37382
1711029891244,59873072447.50741
1711033405525,59432570470.76712
1711034474000,59406732114.74994
